iter	Passed	Remaining
0	21	21411
1	30	15260
2	40	13302
3	48	11996
4	56	11286
5	65	10885
6	74	10582
7	83	10362
8	92	10171
9	102	10190
10	111	9994
11	119	9874
12	129	9798
13	138	9757
14	147	9668
15	162	9990
16	173	10032
17	182	9963
18	191	9867
19	200	9803
20	209	9760
21	218	9712
22	226	9631
23	235	9559
24	242	9468
25	250	9393
26	259	9337
27	267	9287
28	276	9274
29	285	9227
30	293	9178
31	301	9125
32	309	9064
33	316	8989
34	324	8952
35	332	8895
36	339	8844
37	348	8821
38	357	8801
39	365	8777
40	373	8729
41	382	8713
42	389	8678
43	397	8644
44	406	8618
45	413	8579
46	421	8548
47	429	8513
48	437	8495
49	445	8458
50	453	8433
51	461	8416
52	469	8397
53	477	8363
54	485	8337
55	493	8322
56	501	8289
57	507	8247
58	515	8228
59	524	8220
60	532	8190
61	541	8185
62	548	8165
63	556	8133
64	564	8123
65	573	8109
66	580	8090
67	588	8067
68	596	8043
69	603	8023
70	614	8042
71	624	8052
72	633	8042
73	642	8033
74	650	8016
75	658	8005
76	665	7976
77	673	7956
78	681	7943
79	689	7931
80	697	7918
81	704	7892
82	712	7868
83	719	7848
84	727	7833
85	734	7808
86	742	7789
87	750	7774
88	758	7762
89	766	7746
90	773	7727
91	781	7717
92	789	7700
93	798	7691
94	806	7683
95	813	7664
96	822	7653
97	829	7638
98	837	7617
99	843	7595
100	851	7582
101	859	7568
102	867	7554
103	874	7535
104	882	7519
105	890	7514
106	899	7507
107	908	7502
108	917	7497
109	926	7493
110	933	7476
111	940	7455
112	947	7436
113	955	7425
114	964	7423
115	971	7406
116	979	7395
117	987	7379
118	995	7372
119	1002	7354
120	1011	7346
121	1018	7333
122	1025	7313
123	1033	7297
124	1039	7276
125	1047	7268
126	1054	7250
127	1062	7237
128	1069	7224
129	1077	7209
130	1084	7192
131	1091	7179
132	1099	7167
133	1107	7155
134	1116	7152
135	1123	7137
136	1130	7122
137	1137	7105
138	1144	7090
139	1153	7084
140	1161	7076
141	1169	7065
142	1179	7068
143	1189	7072
144	1197	7059
145	1204	7043
146	1212	7038
147	1220	7026
148	1228	7018
149	1238	7019
150	1248	7019
151	1256	7011
152	1264	6999
153	1272	6992
154	1281	6983
155	1301	7042
156	1310	7037
157	1318	7028
158	1327	7021
159	1334	7008
160	1342	6994
161	1351	6989
162	1358	6976
163	1367	6971
164	1375	6961
165	1382	6947
166	1390	6937
167	1398	6925
168	1406	6913
169	1412	6898
170	1420	6886
171	1427	6870
172	1434	6858
173	1445	6862
174	1455	6860
175	1463	6851
176	1470	6839
177	1478	6827
178	1486	6817
179	1493	6805
180	1501	6795
181	1508	6781
182	1516	6769
183	1524	6758
184	1531	6747
185	1539	6737
186	1547	6726
187	1558	6733
188	1568	6730
189	1576	6721
190	1583	6708
191	1591	6695
192	1597	6681
193	1605	6669
194	1613	6660
195	1620	6646
196	1628	6637
197	1635	6624
198	1644	6620
199	1651	6607
200	1658	6594
201	1665	6581
202	1673	6570
203	1680	6557
204	1687	6544
205	1695	6533
206	1701	6520
207	1710	6512
208	1717	6500
209	1725	6490
210	1733	6480
211	1740	6470
212	1748	6458
213	1760	6466
214	1767	6454
215	1775	6444
216	1782	6432
217	1789	6420
218	1797	6409
219	1805	6400
220	1812	6388
221	1819	6377
222	1826	6365
223	1834	6355
224	1842	6346
225	1850	6335
226	1857	6323
227	1864	6311
228	1872	6303
229	1879	6290
230	1887	6284
231	1896	6276
232	1903	6265
233	1909	6252
234	1918	6244
235	1924	6231
236	1931	6219
237	1938	6207
238	1945	6193
239	1952	6183
240	1959	6171
241	1966	6160
242	1973	6148
243	1982	6142
244	1989	6130
245	1996	6119
246	2003	6106
247	2009	6094
248	2016	6083
249	2024	6073
250	2031	6061
251	2038	6050
252	2046	6041
253	2053	6031
254	2059	6018
255	2066	6006
256	2074	5998
257	2083	5991
258	2090	5981
259	2097	5970
260	2104	5959
261	2111	5948
262	2118	5937
263	2125	5926
264	2132	5915
265	2140	5905
266	2148	5898
267	2156	5890
268	2164	5882
269	2174	5878
270	2182	5871
271	2189	5859
272	2196	5848
273	2203	5838
274	2209	5825
275	2216	5815
276	2224	5805
277	2230	5793
278	2237	5782
279	2245	5773
280	2252	5763
281	2260	5754
282	2266	5743
283	2274	5734
284	2281	5723
285	2289	5714
286	2296	5704
287	2303	5693
288	2310	5683
289	2317	5673
290	2324	5662
291	2331	5652
