Actual,Predicted
16282.5,15521.558399555477
19212.71,17741.924740999384
39923.78,41003.007928291394
10729.55,11054.250736794842
25509.0,24242.03281129845
52521.3,50949.038959687925
103036.82,100740.14182363925
144220.2,141882.72073750966
20183.54,19483.699666756387
84507.99,88584.73340236995
52731.55,57329.02846196261
58887.68,62015.116378092156
30334.89,30693.733794440217
26037.52,24753.931077233137
71731.02,70983.68547305593
75141.48,77729.19980857114
52838.97,50271.215356192966
40932.82,41054.248684454156
60492.0,59502.14798643621
21816.94,19508.900254689514
75139.0,72608.32598137841
50821.3,49859.617018465906
84910.84,81119.47128877642
66612.17,70878.94635402689
112008.07,109024.1717426441
12202.1,13025.717510504852
83902.58,81156.57223546554
113885.96,115472.22739900713
28612.97,33076.62410918982
15301.8,15617.85182641603
78434.02,82011.72484131725
67459.62,66517.10762623062
44518.62,48717.6875761538
33.73,-1516.8723450142934
63531.18,61236.61006062157
12340.02,11459.015417631112
62620.02,66395.18933012041
20298.6,18634.605026463032
25711.23,25678.7900028968
45040.92,43306.80558697803
132531.17,129602.13267857186
155342.62,151644.04760412945
90693.09,91452.81137616889
47581.12,45624.71887460965
4864.48,4684.841471023356
8002.14,4811.611021401441
63073.5,66289.9362629925
77027.94,77868.09810544609
116618.98,115963.96692473827
0.0,46494.067159540275
80172.54,80525.96054283655
66184.55,70682.41744927972
131760.3,129172.77164813598
71603.19,69741.94184722281
2580.76,1346.2448122005735
120474.43,116893.81054509635
69920.26,68745.59699875898
89606.42,92858.83895697018
48350.7,47988.70962387869
54308.02,53768.37227673233
71501.46,71756.4914760674
44035.97,43188.10469253335
9221.87,7061.444723304317
2296.19,1069.7669821776944
3327.43,246.56045091247506
10099.18,9273.760375631588
29469.01,29808.579178461416
123349.44,118597.82083573603
4371.47,2986.7520730720717
70019.1,67950.51735466099
128167.24,123932.63234686226
3568.42,4070.215904202385
103589.8,100689.52312141194
119619.56,117328.08681170535
122290.04,121940.858945179
24632.18,25170.15758972348
120451.6,117128.6265689441
71585.5,75191.6331550724
94895.07,94321.76013507874
69459.73,70446.66797780043
147389.34,139605.4979263919
67961.47,65071.95620728226
67114.43,69362.24446131822
3127.96,3947.999723817724
81484.96,79237.35300305556
16161.39,14486.212238303997
51121.72,52615.845129948175
